,Age,Sex,Pclass,Survived,PSurvived
657,50.0,male,1,1,0.3902566
658,40.0,male,3,0,0.22041927
659,47.0,male,1,0,0.39071894
660,36.0,male,3,0,0.22399478
661,20.0,male,3,1,0.23956005
662,32.0,male,2,0,0.38497096
663,25.0,male,2,0,0.38628426
664,49.0,male,3,0,0.2185219
665,43.0,male,3,0,0.21978548
666,48.0,female,1,1,0.43008587
667,40.0,female,2,1,0.38747513
668,31.0,male,1,0,0.38352308
669,70.0,male,2,0,0.37787116
670,31.0,male,2,1,0.38515845
671,19.0,male,2,0,0.38729417
672,18.0,male,3,0,0.24155694
673,24.5,male,3,0,0.23510858
674,18.0,female,3,1,0.32462367
675,43.0,female,3,0,0.32530513
676,36.0,male,1,1,0.385947
677,28.0,female,3,0,0.32830378
678,27.0,male,1,1,0.38158813
679,20.0,male,3,0,0.23956005
680,14.0,male,3,0,0.24558459
681,60.0,male,2,0,0.37973458
682,25.0,male,2,0,0.38628426
683,14.0,male,3,0,0.24558459
684,19.0,male,3,0,0.24055707
685,18.0,male,3,0,0.24155694
686,15.0,female,1,1,0.410319
687,31.0,male,1,1,0.38352308
688,4.0,female,3,1,0.31880856
689,37.0,male,3,1,0.22304626
690,25.0,male,3,0,0.2346175
691,60.0,male,1,0,0.3887171
692,52.0,male,2,0,0.38122794
693,44.0,male,3,0,0.21957454
694,19.0,female,3,1,0.32504117
695,49.0,male,1,0,0.39041072
696,42.0,male,3,0,0.2199966
697,18.0,female,1,1,0.41212523
698,35.0,male,1,1,0.38546172
699,18.0,female,3,0,0.32462367
700,25.0,male,3,0,0.2346175
701,26.0,male,3,0,0.2336375
702,39.0,male,2,0,0.38365927
703,45.0,female,2,1,0.38653582
704,42.0,male,1,1,0.38886312
705,22.0,female,1,1,0.41453725
706,4.0,male,3,1,0.25585034
707,24.0,female,1,1,0.4157448
708,41.0,male,1,0,0.38837656
709,48.0,male,1,1,0.3905648
710,29.0,male,3,0,0.2307147
711,52.0,male,2,0,0.38122794
712,19.0,male,3,0,0.24055707
713,38.0,female,1,1,0.42422533
714,27.0,female,2,1,0.38992125
715,33.0,male,3,0,0.22685757
716,6.0,female,2,1,0.3938844
717,17.0,male,3,0,0.2425596
718,34.0,male,2,0,0.38459602
719,50.0,male,2,0,0.38160157
720,27.0,male,1,1,0.38158813
721,20.0,male,3,0,0.23956005
722,30.0,female,2,1,0.38935626
723,28.0,female,3,1,0.32830378
724,25.0,male,2,0,0.38628426
725,25.0,female,3,0,0.32733554
726,29.0,female,1,1,0.41876808
727,11.0,male,3,0,0.24863489
728,41.0,male,2,0,0.38328487
729,23.0,male,2,0,0.38665977
730,23.0,male,2,0,0.38665977
731,28.5,male,3,0,0.23120004
732,48.0,female,3,0,0.32395598
733,35.0,male,1,1,0.38546172
734,20.0,male,3,0,0.23956005
735,32.0,male,3,0,0.22781757
736,45.0,male,1,1,0.3903242
737,36.0,male,1,0,0.385947
738,21.0,female,1,1,0.41393384
739,24.0,male,3,0,0.23560034
740,31.0,male,3,1,0.22878042
741,70.0,male,1,0,0.38717973
742,16.0,male,3,0,0.24356511
743,30.0,female,2,1,0.38935626
744,19.0,male,1,0,0.37772948
745,31.0,male,3,0,0.22878042
746,4.0,female,2,1,0.39426255
747,6.0,male,3,1,0.25377485
748,33.0,male,3,0,0.22685757
749,23.0,male,3,0,0.236586
750,48.0,female,2,1,0.38597265
751,0.67,male,2,1,0.39924818
752,28.0,male,3,0,0.23168613
753,18.0,male,2,0,0.38734373
754,34.0,male,3,0,0.22590044
755,33.0,female,1,1,0.42119113
756,23.0,male,3,0,0.236586
757,41.0,male,3,0,0.22020788
758,20.0,male,3,1,0.23956005
759,36.0,female,1,1,0.42301095
760,16.0,male,3,0,0.24356511
761,51.0,female,1,1,0.43148616
762,46.0,male,1,0,0.39081165
763,30.5,female,3,0,0.3286906
764,28.0,male,3,0,0.23168613
765,32.0,male,3,0,0.22781757
766,24.0,male,3,0,0.23560034
767,48.0,male,3,0,0.21873213
768,57.0,female,2,0,0.38428488
769,29.0,male,3,0,0.2307147
770,54.0,female,2,1,0.3848472
771,18.0,male,3,0,0.24155694
772,20.0,male,3,0,0.23956005
773,5.0,female,3,1,0.31922212
774,22.0,male,3,0,0.23757453
775,43.0,female,1,1,0.4272651
776,13.0,female,3,1,0.3225405
777,17.0,female,1,1,0.41152287
778,29.0,male,1,0,0.38255513
779,35.0,male,3,0,0.22494617
780,25.0,male,3,0,0.2346175
781,25.0,male,3,0,0.2346175
782,18.0,female,3,1,0.32462367
783,8.0,male,3,0,0.2517105
784,1.0,male,3,1,0.2589844
785,46.0,male,1,0,0.39081165
786,20.0,male,3,0,0.23956005
787,16.0,male,2,0,0.38744277
788,21.0,female,3,0,0.3258769
789,43.0,male,1,0,0.38934994
790,25.0,male,3,0,0.2346175
791,39.0,male,2,0,0.38365927
792,49.0,female,1,1,0.4305525
793,31.0,female,3,1,0.32855478
794,30.0,male,3,0,0.22974612
795,30.0,female,3,0,0.32882634
796,34.0,male,2,0,0.38459602
797,31.0,female,2,1,0.389168
798,11.0,male,1,1,0.37388632
799,0.42,male,3,1,0.2595932
800,27.0,male,3,1,0.2326604
801,31.0,male,3,0,0.22878042
802,39.0,male,1,0,0.38740402
803,18.0,female,3,0,0.32462367
804,39.0,male,2,0,0.38365927
805,33.0,female,1,1,0.42119113
806,26.0,male,3,0,0.2336375
807,39.0,male,3,0,0.22115777
808,35.0,male,2,0,0.3844086
809,6.0,female,3,0,0.3196359
810,30.5,male,3,0,0.22926293
811,39.0,male,1,0,0.38740402
812,23.0,female,3,0,0.3266908
813,31.0,male,2,0,0.38515845
814,43.0,male,3,0,0.21978548
815,10.0,male,3,0,0.2496573
816,52.0,female,1,1,0.43195316
817,27.0,male,3,1,0.2326604
818,38.0,male,1,0,0.38691813
819,27.0,female,3,1,0.32798088
820,2.0,male,3,0,0.25793695
821,36.0,male,3,0,0.22399478
822,23.0,male,3,0,0.236586
823,1.0,male,2,1,0.39889657
824,19.0,male,3,1,0.24055707
825,62.0,female,1,1,0.4366297
826,15.0,female,3,1,0.32337293
827,0.83,male,2,1,0.39907768
828,30.0,male,3,0,0.22974612
829,23.0,male,3,0,0.236586
830,18.0,male,3,0,0.24155694
831,39.0,female,1,1,0.42483282
832,21.0,male,3,0,0.23856588
833,20.0,male,3,0,0.23956005
834,32.0,male,3,1,0.22781757
835,29.0,male,1,1,0.38255513
836,20.0,male,3,0,0.23956005
837,16.0,male,2,0,0.38744277
838,30.0,female,1,1,0.41937348
839,34.5,male,3,0,0.22542295
840,17.0,male,3,0,0.2425596
841,42.0,male,3,0,0.2199966
842,18.0,male,3,0,0.24155694
843,35.0,male,3,0,0.22494617
844,28.0,male,2,0,0.38572118
845,40.0,female,1,1,0.42544052
846,4.0,male,3,0,0.25585034
847,74.0,male,3,0,0.21331328
848,9.0,female,3,0,0.32087904
849,16.0,female,1,1,0.41092083
850,44.0,female,2,0,0.3867236
851,18.0,female,3,1,0.32462367
852,45.0,female,1,1,0.42848262
853,51.0,male,1,1,0.39010257
854,24.0,female,3,1,0.3270131
855,30.0,male,3,0,0.22974612
856,41.0,male,3,0,0.22020788
857,21.0,male,2,0,0.38703546
858,48.0,female,1,1,0.43008587
859,14.0,female,3,0,0.3229566
860,24.0,male,2,0,0.38647202
861,42.0,female,2,1,0.38709927
862,27.0,female,2,1,0.38992125
863,31.0,male,1,0,0.38352308
864,23.0,male,3,0,0.236586
865,4.0,male,3,1,0.25585034
866,26.0,male,3,0,0.2336375
867,47.0,female,1,1,0.42961937
868,33.0,male,1,0,0.38449198
869,47.0,male,3,0,0.21894252
870,28.0,female,2,1,0.3897329
871,15.0,female,3,1,0.32337293
872,20.0,male,3,0,0.23956005
873,19.0,male,3,0,0.24055707
874,23.0,male,3,0,0.236586
875,56.0,female,1,1,0.4338224
876,25.0,female,2,1,0.39029807
877,33.0,male,3,0,0.22685757
878,22.0,female,3,0,0.32629526
879,28.0,male,2,0,0.38572118
880,25.0,male,3,0,0.2346175
881,39.0,female,3,0,0.3263865
882,27.0,male,2,0,0.38590884
883,19.0,female,1,1,0.41272783
884,7.0,female,3,0,0.32005
885,26.0,male,1,1,0.38110498
886,32.0,male,3,0,0.22781757
